1: x1='2.5', x2='7.5'
535: x1='-2.7299174282401157', x2='11.91746758640951'
536: x1='5.1293168524691914', x2='0.46460166584617213'
537: x1='-2.7304750508616715', x2='12.440812362293054'
538: x1='0.9281733288663245', x2='6.072917363183138'
539: x1='-2.731834777627137', x2='10.908638949324684'
540: x1='-4.418268324342356', x2='1.598501330677542'
541: x1='-2.683811092611152', x2='12.248249522286535'
542: x1='-2.115674839502572', x2='11.12166412630776'
543: x1='-2.7277050664321907', x2='9.86770484191267'
544: x1='7.932697215855232', x2='5.9080465093451675'
545: x1='-3.9922389057898737', x2='14.034708215541224'
546: x1='-2.385834387778848', x2='9.55324428818843'
547: x1='-2.9101699504310217', x2='11.610392550181844'
548: x1='6.473435976426261', x2='10.92014916850807'
549: x1='-4.05822249659951', x2='14.359944712842777'
550: x1='6.659733830440814', x2='2.647347157324827'
551: x1='-4.051715698761702', x2='14.372009045500205'
552: x1='8.304068866495658', x2='6.515834279613948'
553: x1='2.5469876777605798', x2='0.9015176873540137'
554: x1='-0.4154317139050363', x2='13.632674910461915'
555: x1='2.5202420335824787', x2='0.42842617585989673'
556: x1='0.6236515709489838', x2='0.5785624539248679'
557: x1='2.4490841919524238', x2='0.2592609726451789'
558: x1='-2.46640117880756', x2='0.31631585266773066'
559: x1='2.515892616759592', x2='0.45691984434166555'
560: x1='-2.53509292382505', x2='7.063134080063848'
561: x1='2.3212095612212558', x2='0.19791748981225432'
562: x1='-0.1549939216559446', x2='14.05289867300135'
563: x1='2.5237633761424547', x2='0.4838142313964716'
564: x1='-3.442985891704598', x2='2.00701075203453'
565: x1='2.892242735585139', x2='2.0482914118935103'
566: x1='-1.2810401435276568', x2='6.873064187265021'
567: x1='2.8739916589239787', x2='2.0257764846053705'
568: x1='-2.3542070012969503', x2='10.34241314259568'
569: x1='2.576755895038712', x2='2.0174555445809066'
570: x1='2.6698884012173965', x2='7.54563712023284'
571: x1='2.613254266500241', x2='1.9754869330364877'
572: x1='1.003245833069851', x2='2.823213115548506'
573: x1='2.3690052439186786', x2='2.0462438809568524'
574: x1='5.752672358006185', x2='1.6567584974329697'
575: x1='-4.060675822737697', x2='13.602826346336437'
576: x1='1.644203222826441', x2='4.350661386505946'
577: x1='-4.067440295681347', x2='10.44791050559443'
578: x1='1.7104865294812281', x2='9.016066411577736'
579: x1='2.4048774551339305', x2='2.003987409690917'
580: x1='8.05079519518475', x2='14.758406366551032'
581: x1='2.3838053436510798', x2='1.7380183287137385'
582: x1='5.648521726913637', x2='6.366505540016817'
583: x1='2.4164870372697997', x2='1.9063004188533954'
584: x1='2.0954826991720727', x2='2.51907131769281'
585: x1='-3.7251314096382466', x2='12.415095446092021'
586: x1='3.824349836630013', x2='12.878729402272095'
587: x1='-4.251582051834612', x2='11.779933622544247'
588: x1='1.396035105805165', x2='1.8895260564268064'
589: x1='-4.46309309051183', x2='5.134250182820911'
590: x1='-3.7127645674891054', x2='11.599917979676714'
591: x1='-1.7772786588151561', x2='6.017025847648903'
592: x1='-3.7174354336722852', x2='10.881401854749232'
593: x1='0.9366156636457781', x2='3.6171220197339298'
594: x1='-3.74245749754889', x2='11.663357903432495'
595: x1='-4.275139366191877', x2='14.664627422886348'
596: x1='4.496437848983124', x2='9.937109439776474'
597: x1='-4.274415803500201', x2='13.691847641614034'
598: x1='-3.796684157483692', x2='3.4772543254084933'
599: x1='-4.288451598863377', x2='14.445174801490655'
600: x1='2.3944907132611117', x2='13.23228891883963'
601: x1='-4.292095078382002', x2='14.248964933214024'
602: x1='5.598173355640736', x2='2.1370956295844454'
603: x1='-4.304457315115466', x2='12.76130008469519'
604: x1='-4.574683291399101', x2='2.3468586832692475'
605: x1='-4.315872824805473', x2='14.752564232197678'
606: x1='-0.9899861111435202', x2='12.149955714877002'
607: x1='-4.316607952403948', x2='13.172789222100391'
608: x1='4.961599036771055', x2='10.383936308389782'
609: x1='-4.312870058474109', x2='11.842790470311982'
610: x1='-0.2956460649761228', x2='11.00256882064584'
611: x1='-3.325648066357733', x2='12.84813945988539'
612: x1='-4.639735232617934', x2='14.19301686785491'
613: x1='-3.246143489224427', x2='12.86930575293011'
614: x1='6.032276465632185', x2='6.780476468974193'
615: x1='3.084350865929215', x2='1.6004768687970372'
616: x1='8.921684209201114', x2='13.946576068904966'
617: x1='8.445396636065702', x2='1.599728934337754'
618: x1='-2.13016577622984', x2='5.217142474002496'
619: x1='1.5656674402917865', x2='1.5972168795162651'
620: x1='-3.153112438984167', x2='12.712245580982808'
621: x1='1.537979604118509', x2='1.6009682059865598'
622: x1='-0.7907448527948882', x2='1.852310588113932'
623: x1='5.299066926235904', x2='1.6034628150423502'
624: x1='7.684434594213885', x2='0.2172819678083332'
625: x1='9.648611875848024', x2='6.962830377206398'
626: x1='-3.2570513316148544', x2='12.874353299040923'
627: x1='-2.077783556620383', x2='11.862923008702463'
628: x1='-3.344005321102964', x2='12.8723872138712'
629: x1='2.84954844053249', x2='12.641227784408091'
630: x1='-3.6710649187876285', x2='12.87095694058815'
631: x1='2.625809275955767', x2='2.8195016229100855'
632: x1='-3.2123229066954293', x2='11.96177339242389'
633: x1='8.59598802644001', x2='2.5925195607174834'
634: x1='-3.2060347214547873', x2='12.338752537890102'
635: x1='-4.418271577273327', x2='14.255099164256187'
636: x1='2.2306039680302545', x2='11.184480059173405'
637: x1='-4.406119025664352', x2='14.418717204063508'
638: x1='-3.2978294062669127', x2='0.703109650304099'
639: x1='-4.43869505275377', x2='13.429234082816789'
640: x1='-1.5499372136280938', x2='6.797195908537783'
641: x1='-4.4233590059879715', x2='13.950516735118654'
642: x1='-4.477529422790788', x2='11.389298988801086'
643: x1='-4.436794812656621', x2='12.761138925029796'
644: x1='0.251678900361183', x2='3.8954494446581496'
645: x1='2.851173690585254', x2='2.526745282884655'
646: x1='-3.2908687704008512', x2='12.880103783621063'
647: x1='0.5032634841147265', x2='9.02795767572451'
648: x1='-2.3660019472624465', x2='12.879142311136789'
649: x1='3.0243992002992854', x2='8.653659846374488'
650: x1='-2.6997227834275668', x2='12.66942350924584'
651: x1='1.4154729484731492', x2='10.045014567171018'
652: x1='-2.7410544107713477', x2='9.999400754889734'
653: x1='9.004732377415806', x2='0.9446026901814858'
654: x1='-2.598722800351202', x2='12.676729656714068'
655: x1='-2.50993106979542', x2='13.412154964732185'
656: x1='-2.418524618039157', x2='12.738516392346776'
657: x1='2.9704767710350763', x2='0.7400371487564761'
658: x1='0.5039536539376437', x2='6.778732916850503'
659: x1='3.1732696063539088', x2='0.6943870791233558'
660: x1='3.2344914306555275', x2='5.21980710665216'
661: x1='3.098583130273301', x2='0.7151311948880412'
662: x1='8.359293904067593', x2='4.971698744962183'
663: x1='3.5925112688410987', x2='0.7325315127932891'
664: x1='-1.5075159900926867', x2='9.3179928370537'
665: x1='3.4983292557599164', x2='0.8408273051730636'
666: x1='-2.4594208521466987', x2='5.107012547567749'
667: x1='3.549587279115812', x2='0.7831068556412224'
668: x1='-3.5839100608085115', x2='12.878120660600164'
669: x1='6.832438864414696', x2='11.170561588273928'
670: x1='2.8407668765441914', x2='2.568742467653527'
671: x1='8.853382036256406', x2='4.564112720074505'
672: x1='2.8036665465133757', x2='2.616480176491743'
673: x1='9.632830506325632', x2='4.926079004581522'
674: x1='2.8010616511451296', x2='2.1802771276681483'
675: x1='2.350065089368057', x2='5.609062819053905'
676: x1='2.8278303993211678', x2='3.1510980991970747'
677: x1='3.1688732218099958', x2='0.012611973054761916'
678: x1='2.836367538391368', x2='3.5451278389700907'
679: x1='2.8133568960614976', x2='1.1772406451742028'
680: x1='9.051077440830998', x2='0.7755125709810823'
681: x1='2.9017563194791327', x2='1.1992612329819892'
682: x1='-3.289671686910184', x2='2.261860149656545'
683: x1='3.002866974059012', x2='1.1895449880607205'
684: x1='7.392493477624097', x2='7.5054508255090555'
685: x1='2.6576992980682244', x2='1.2132082634761776'
686: x1='4.457887367219135', x2='3.2871292217455435'
687: x1='3.9577252281512685', x2='1.1807884594550189'
688: x1='9.005070983652445', x2='7.179943710704217'
689: x1='4.031610051219067', x2='1.1770483093920254'
690: x1='-3.312039449327624', x2='11.462786068723776'
691: x1='7.9807544672166735', x2='0.6347416571594766'
692: x1='-3.3649611473061496', x2='11.485407674841692'
693: x1='9.621267743499063', x2='11.062341615076518'
694: x1='-3.3730838740433198', x2='11.333407107615198'
695: x1='2.431288643376636', x2='14.123812094138378'
696: x1='-3.3012463559833307', x2='11.348632859411715'
697: x1='8.437939656963334', x2='12.510289461574573'
698: x1='-3.3735289074238537', x2='11.384533064473779'
699: x1='4.597047289690412', x2='3.0840044232371833'
700: x1='-3.3950007887697997', x2='11.27128994473018'
701: x1='-2.4780098145936558', x2='10.848509322684883'
702: x1='3.976054498844565', x2='10.126921500978629'
703: x1='-2.4621608998038584', x2='10.609203124026786'
704: x1='3.230260447803813', x2='11.639585389791126'
705: x1='-2.473421359755502', x2='10.46230969417163'
706: x1='-3.708504261780892', x2='9.324832353241046'
707: x1='-2.50078172952843', x2='9.541780776204124'
708: x1='5.552146104957803', x2='6.681109283339868'
709: x1='-2.4917339179378444', x2='11.408179314760517'
710: x1='0.20802735529646554', x2='6.428498970934577'
711: x1='-3.1782136722072485', x2='11.50663698213971'
712: x1='-4.315484657628984', x2='13.114738409764591'
713: x1='2.1992001734037423', x2='2.763331664868183'
714: x1='8.45701035148374', x2='5.475812699108077'
715: x1='1.4212050561832061', x2='11.841733332737723'
716: x1='8.631596211522911', x2='5.57271768507301'
717: x1='7.036597406306832', x2='4.825631230959041'
718: x1='8.883717311961114', x2='5.458341038866009'
719: x1='3.6526167875043978', x2='4.0666404519836865'
720: x1='8.746865568642725', x2='5.877435030901824'
721: x1='9.900919099133707', x2='1.2154667618389758'
722: x1='8.519366219571436', x2='5.711556570971743'
723: x1='-4.442952554616829', x2='11.702304104424725'
724: x1='2.2558025409901603', x2='3.818430293618639'
725: x1='2.3115331687286407', x2='4.839668126573918'
726: x1='0.46783530901422044', x2='14.125669675911432'
727: x1='2.3525219048888744', x2='4.828000876470116'
728: x1='9.328387181917085', x2='9.202620907193317'
729: x1='2.650460954272021', x2='4.77100548061008'
730: x1='9.298250130721819', x2='8.90541549838797'
731: x1='2.976417237776551', x2='4.83969044387515'
732: x1='-0.0520483744728395', x2='6.298987533173145'
733: x1='2.9291957744613146', x2='4.834813357311996'
734: x1='-3.2973772147933875', x2='14.819127199984553'
735: x1='-1.3685288529863238', x2='13.801742086291801'
736: x1='-3.819471411956126', x2='14.790478314381854'
737: x1='9.952341770514131', x2='5.159152242673501'
738: x1='-3.563499619981915', x2='14.768682931475146'
739: x1='9.884016198272535', x2='8.400273854767985'
740: x1='-3.5036465012825833', x2='14.842931038442364'
741: x1='6.865164108912568', x2='8.799797675440901'
742: x1='-3.5273767576958086', x2='14.843476627275397'
743: x1='-3.5865109792766985', x2='11.402612890189484'
744: x1='-3.06563355470666', x2='14.830517185006064'
745: x1='-4.314380689563287', x2='10.912966166529557'
746: x1='9.698938375989028', x2='4.420678691284332'
747: x1='3.7044299769677824', x2='1.398633835163852'
748: x1='9.134484529700488', x2='7.8564179496014885'
749: x1='3.723273025309572', x2='1.3866494543808434'
750: x1='1.7533803373823043', x2='2.2975836315127185'
751: x1='3.6993368980697507', x2='3.0872177021314102'
752: x1='-1.6144604697613474', x2='7.937429597240273'
753: x1='3.706562122028952', x2='2.5228573290203564'
754: x1='-0.16363917980467413', x2='10.494834445198588'
755: x1='3.7780170237894577', x2='2.3616637137113807'
756: x1='9.900072334125495', x2='1.6238973410284008'
757: x1='6.795030432116423', x2='11.642888774794608'
758: x1='9.731843233412368', x2='1.61720755024791'
759: x1='8.487280963716206', x2='0.5578609057916689'
760: x1='2.546127560039361', x2='5.131978480607072'
761: x1='8.666460472444903', x2='0.08745015326729555'
762: x1='2.5333744402784513', x2='4.935951471364019'
763: x1='0.8665747899455063', x2='5.587476818713552'
764: x1='2.539627495141313', x2='5.394175864214788'
765: x1='5.477872666637024', x2='12.335706652472952'
766: x1='3.5411679911861924', x2='1.108345059162819'
767: x1='3.2850599994650462', x2='1.1536305471359594'
768: x1='0.9713958942318293', x2='8.530823604811001'
769: x1='2.6273703889161766', x2='1.145585948706434'
770: x1='-4.8843636250020115', x2='13.200287563367368'
771: x1='-3.7313912825651387', x2='10.981110479562881'
772: x1='6.533918323458771', x2='7.312815458804769'
773: x1='-3.7255244392384403', x2='11.026394212709775'
774: x1='6.537379775323959', x2='14.961153481761757'
775: x1='3.8193733826737297', x2='1.7603033011886404'
776: x1='-3.3428894254807635', x2='1.421894558868206'
777: x1='3.7978091373679224', x2='2.207208025099673'
778: x1='-4.31442051565638', x2='13.342364902299261'
779: x1='0.46549186994603886', x2='2.445644065042499'
780: x1='-2.3061680952751913', x2='10.03448731080324'
781: x1='-1.8538578734080664', x2='2.4757411735289283'
782: x1='-2.3013163033625963', x2='10.991940149967517'
783: x1='4.981773313509207', x2='14.385174307495157'
784: x1='-2.314718489213053', x2='9.877009344898784'
785: x1='-3.1231039870817687', x2='13.74865675513228'
786: x1='-2.285350961616946', x2='9.507450172783543'
787: x1='3.5231455368175375', x2='3.7357285636013007'
788: x1='-2.2930085060045124', x2='9.643968626172393'
789: x1='-3.7397512726260915', x2='11.24639432899848'
790: x1='0.5999259488320883', x2='12.798113774330563'
791: x1='-4.931436339497352', x2='5.057178375850798'
792: x1='-2.8141530180677528', x2='12.529354984569364'
793: x1='8.294585495917337', x2='4.736375912560375'
794: x1='-2.0571610610744666', x2='12.550581751397258'
795: x1='-2.372019255800975', x2='5.123405102830917'
796: x1='3.4623495015216115', x2='0.41833957202214833'
797: x1='2.1734464583085424', x2='2.061254782752915'
798: x1='5.1883503881090185', x2='4.654946197807775'
799: x1='-2.7539687900136856', x2='11.344852438265848'
800: x1='-3.7367115554672834', x2='12.862714547917198'
801: x1='-4.199055001389589', x2='1.340943541364349'
802: x1='3.3545703171630414', x2='0.7154240934099576'
803: x1='2.9129473964233634', x2='13.550269979419616'
804: x1='3.423643592278843', x2='0.7151311948880412'
805: x1='8.357322123504428', x2='12.20655892787681'
806: x1='-4.964395097504161', x2='14.791931180361782'
807: x1='-4.475647948705103', x2='12.200699675735997'
808: x1='-4.992979741845875', x2='14.951008675825182'
809: x1='-0.3484448518792025', x2='6.925382645914797'
810: x1='-4.946593130631458', x2='14.916606573195638'
811: x1='3.782691807477674', x2='0.4773003931035724'
812: x1='3.2926641267536247', x2='11.765443866735719'
813: x1='-3.7901165097187164', x2='12.50526122635222'
814: x1='2.9659499157815308', x2='0.6096487694286523'
815: x1='-3.79528029991906', x2='11.92844793899883'
816: x1='0.02943221155842224', x2='4.21646800007756'
817: x1='-2.0549632485068807', x2='5.425606991838555'
818: x1='-3.7682107217014904', x2='11.661542299610378'
819: x1='-1.4294927060862275', x2='3.8112139972262375'
820: x1='-3.7861260437901323', x2='11.633123678640668'
821: x1='3.345791401350249', x2='3.5820436603598163'
822: x1='-1.7561047491012935', x2='11.071825380036145'
823: x1='-0.258428962674194', x2='14.66910113528122'
824: x1='-1.7927751547970638', x2='11.187095060093778'
825: x1='5.182180198509981', x2='2.1201213728604884'
826: x1='-1.677930982370746', x2='11.263123752530685'
827: x1='7.290175641440564', x2='14.235198819320594'
828: x1='-3.9175471815497236', x2='12.582253930271712'
829: x1='6.339798969040691', x2='8.767516753050524'
830: x1='-1.927615323144912', x2='11.326423790214333'
831: x1='2.6535806039735306', x2='0.7424182046360078'
832: x1='-1.9418729717442478', x2='11.488143215104651'
833: x1='-4.065504084793683', x2='14.543683833499587'
834: x1='4.3070646918890905', x2='13.053731501472235'
835: x1='-4.063635401222459', x2='14.133365070687862'
836: x1='9.741645064628432', x2='0.12028972683657546'
837: x1='-4.061598039137225', x2='12.97710667958034'
838: x1='-3.981422834372959', x2='14.839344703466379'
839: x1='-4.063894703228213', x2='11.180561301737146'
840: x1='9.848597811610782', x2='0.22796801939468925'
841: x1='-4.445769073956509', x2='14.238908439672022'
842: x1='8.640301181179813', x2='8.578360500712783'
843: x1='1.4589899492509222', x2='4.861550348636911'
844: x1='3.1914294378905694', x2='1.4315420549158002'
845: x1='2.5989166412658955', x2='14.20164944776819'
846: x1='0.057887740466177284', x2='5.66445538469937'
847: x1='3.3594185471283122', x2='1.4168993489156683'
848: x1='1.2486437185516408', x2='10.167880539840453'
849: x1='6.0074177009275775', x2='11.674133007094245'
850: x1='4.08133721948448', x2='1.4245938622074694'
851: x1='-4.529751207629796', x2='12.79699762017246'
852: x1='4.105404878526397', x2='1.4326721577755626'
853: x1='7.366665240181556', x2='13.551059816181327'
854: x1='4.070322566158733', x2='4.689165169450717'
855: x1='-4.067285487758878', x2='6.142151804879005'
856: x1='8.515828726054352', x2='9.82084866968806'
857: x1='3.1038487388711467', x2='1.108345059162819'
858: x1='4.113646541620417', x2='12.76585118941698'
859: x1='3.0314177965076876', x2='1.1257877524753568'
860: x1='8.023349714560913', x2='2.478107214619674'
861: x1='2.998961626981317', x2='1.0882189883288724'
862: x1='-0.5283741768095229', x2='5.206732420799281'
863: x1='3.6362261438241124', x2='1.137007481745656'
864: x1='-4.2843454657960685', x2='6.04600979824744'
865: x1='-4.074899728860561', x2='5.715707874711765'
866: x1='-3.4646438391726937', x2='12.772928286421715'
867: x1='-0.5824009918774751', x2='5.81913234829148'
868: x1='-3.827444207446092', x2='12.783507225462358'
869: x1='9.368683361920901', x2='10.230307681623758'
870: x1='-2.356269596462969', x2='12.756851739142416'
871: x1='4.336340840257327', x2='13.223350906590682'
872: x1='-2.437418775613982', x2='12.809157308642916'
873: x1='-4.012982857576121', x2='9.949568996879758'
874: x1='-3.519469836541739', x2='12.376787286391457'
875: x1='4.03941187887942', x2='12.058558922978929'
876: x1='-3.5243913171295893', x2='12.408944668860157'
877: x1='-3.2222180177693054', x2='6.817858276446537'
878: x1='3.5980009879044097', x2='12.445711268629314'
879: x1='-3.2750853497848964', x2='6.737646214615516'
880: x1='8.196768038854032', x2='1.922728927360458'
881: x1='-3.139224513966608', x2='6.743472826096694'
882: x1='-3.4372613909153866', x2='10.543023336275915'
883: x1='-3.2673562077936276', x2='7.992617615656913'
884: x1='4.6664306094971835', x2='6.72263973735824'
885: x1='2.1503299916686043', x2='1.7335089979164555'
886: x1='2.5482634603873597', x2='3.438315788633632'
887: x1='2.1210012860142182', x2='1.7257987550158393'
888: x1='1.421777236486868', x2='2.0335649936394313'
889: x1='8.181178577064337', x2='2.474623184861227'
890: x1='8.130647727616577', x2='2.4723802985874173'
891: x1='6.404920484545247', x2='13.965326156897317'
892: x1='8.183305250775796', x2='2.45595166940672'
893: x1='2.5066361589622748', x2='12.087796531026832'
894: x1='8.178272051852403', x2='3.1248771748900794'
895: x1='1.9887390972927275', x2='14.901217178060563'
896: x1='8.17939938529556', x2='3.059535421830515'
897: x1='-0.8393568804492677', x2='11.158731925459598'
898: x1='8.131146549634176', x2='2.1558699046561713'
899: x1='-3.859389977274887', x2='12.486871835656803'
900: x1='8.84026434788257', x2='1.708885886833026'
901: x1='3.639705474866531', x2='4.712091555707582'
902: x1='7.798403105364184', x2='5.457412167923703'
903: x1='3.5943000132904874', x2='4.935477719103213'
904: x1='9.99537588248763', x2='1.796616302533987'
905: x1='3.62533934509395', x2='4.798339973622887'
906: x1='5.215735499622124', x2='14.741296412175425'
907: x1='3.561933338984529', x2='4.873048019754728'
908: x1='0.02171779720300293', x2='14.250531929913905'
909: x1='3.7475742146520297', x2='4.880113570984576'
910: x1='-3.0038463091647234', x2='12.510528647637596'
911: x1='-2.75168113308111', x2='6.416895684492101'
912: x1='-2.7815970373437047', x2='14.650300111261013'
913: x1='-3.535275661889272', x2='8.70288746098992'
914: x1='-2.848823690112967', x2='14.765182105688211'
915: x1='-3.734105567831694', x2='12.350219362427133'
916: x1='-2.4540539722997066', x2='14.380309805093539'
917: x1='4.081535442388292', x2='3.2000788145334953'
918: x1='-2.778964210194752', x2='14.904715854401642'
919: x1='4.5069410240107874', x2='8.564898166841719'
920: x1='-2.8244320589384513', x2='14.926484079574553'
921: x1='3.802941487466253', x2='0.4328355176723475'
922: x1='6.199064473648249', x2='5.485147800417142'
923: x1='3.802203493912259', x2='3.753011277961751'
924: x1='1.981162123356305', x2='6.125557839926748'
925: x1='-4.165405049619196', x2='14.94796865639667'
926: x1='9.153523348004573', x2='13.037531773698568'
927: x1='-4.192505673562156', x2='14.75236962277341'
928: x1='2.1093070283949924', x2='10.113200961747676'
929: x1='-4.1658088032609975', x2='13.972831813549769'
930: x1='-1.8528101525205747', x2='7.548367824232807'
931: x1='-4.163694117993327', x2='14.998672522201456'
932: x1='3.808169992703471', x2='0.8906045207707819'
933: x1='8.46521046004939', x2='9.002146997372702'
934: x1='3.808833540900066', x2='2.8452594178339776'
935: x1='4.145224558561239', x2='12.472408930997817'
936: x1='3.805810700382766', x2='3.7894168840655555'
937: x1='-4.861306574674535', x2='7.3151977900515925'
938: x1='-3.76432148765095', x2='14.574156121916289'
939: x1='-4.185518322518914', x2='6.064552459401143'
940: x1='-3.8085031030640106', x2='14.497255574903715'
941: x1='-0.055299964347851116', x2='4.9012326369649'
942: x1='-3.5284768920360765', x2='14.500694851254215'
943: x1='4.220119747019909', x2='1.8458147463870649'
944: x1='-0.526335043074063', x2='12.70810188375912'
945: x1='4.2186095542423505', x2='1.8498783116291313'
946: x1='1.4423744844750797', x2='10.280265331264056'
947: x1='4.217977112268656', x2='2.600840431675663'
948: x1='-2.7480845474520392', x2='5.265608030560565'
949: x1='4.2220594247513805', x2='0.1857055965449117'
950: x1='7.147807386737291', x2='4.58068285883317'
951: x1='4.305981211881564', x2='1.6013479711644845'
952: x1='2.317205422054772', x2='6.941832785349048'
953: x1='4.256076565929689', x2='2.0859360479341853'
954: x1='-3.7045117724187877', x2='14.566026255177253'
955: x1='1.5358071538059406', x2='5.549765731954592'
956: x1='4.323858383993034', x2='0.8168307547354003'
957: x1='-3.668760762838066', x2='14.628043272558587'
958: x1='1.5214254912409437', x2='14.461288368008884'
959: x1='-3.642268575319059', x2='14.642422560974124'
960: x1='-3.4258855794228738', x2='11.438544614094512'
961: x1='-4.06718190126733', x2='2.5871739434550745'
962: x1='-3.7918086389402226', x2='14.663757928922614'
963: x1='8.038837671811741', x2='9.941852609443853'
964: x1='-4.066576803415564', x2='11.827023477564198'
965: x1='-4.850076914975865', x2='12.434437174611947'
966: x1='-3.222145324022022', x2='6.2288015276957225'
967: x1='-4.850255884258269', x2='12.575406472868904'
968: x1='-1.0112415677287916', x2='0.9149303361708971'
969: x1='-4.902129148486043', x2='12.485501111564346'
970: x1='-0.6976348912752854', x2='6.203805537690872'
971: x1='-4.951503401436949', x2='12.845803617748862'
972: x1='4.875862865120469', x2='1.5720579321271737'
973: x1='-4.981912723157687', x2='11.86568526118293'
974: x1='1.257617557431331', x2='14.479655288002007'
975: x1='-4.920456523954393', x2='11.635671916860947'
976: x1='-2.500556616929965', x2='14.390751133586065'
977: x1='9.158286388262404', x2='14.261266850169886'
978: x1='3.5681798953744615', x2='5.1649719164502'
979: x1='6.749046534435962', x2='3.269327046362573'
980: x1='3.6925028123989225', x2='5.099304182585987'
981: x1='5.101602967111088', x2='0.3322077236334908'
982: x1='3.7016422663426027', x2='5.265608030560565'
983: x1='6.1479747428940374', x2='14.115084471036274'
984: x1='3.7015350052166927', x2='5.016980157580553'
985: x1='-0.9695533521547164', x2='8.974924532608963'
986: x1='3.747910890452978', x2='5.142352131813903'
987: x1='3.2330682178574524', x2='1.599151714966502'
988: x1='2.1370051280725546', x2='8.524513060130065'
989: x1='2.1513561782379353', x2='1.5994861466104764'
990: x1='-2.286611503657561', x2='2.824696861048558'
991: x1='-3.5334981768739917', x2='11.582369512124888'
992: x1='8.356541706081671', x2='4.845001178288799'
993: x1='8.788418391026692', x2='4.090335843916836'
994: x1='-4.15743878668984', x2='13.148521533710024'
995: x1='8.796097252703088', x2='3.8501766334590632'
996: x1='9.920701058211066', x2='5.279398707941171'
997: x1='8.79644075266812', x2='3.489256143568939'
998: x1='-3.278941671483065', x2='12.517622010668752'
999: x1='-3.388129035271905', x2='7.341028618615732'
1000: x1='-1.5468408211672324', x2='12.841073073566898'
